"id","category","description","dimensions","material","units","inventory","price","minimum_purchase","package_count","shipping_price","location"
"999","Stove","Origo 3000 Alcohol ",,"Stainless","Each","0.00","250.00","1","1","25.00","http://www.ebay.com/sch/i.html?_from=R40&_trksid=p5197.m570.l1313&_nkw=origo+3000&_sacat=See-All-Categories"
"1","Bolt","Philips Pan Head Machine Screw","1/4"" x 1/2"" ","Stainless","Each","0.00","0.09","100","100","0.02","http://www.jamestowndistributors.com/userportal/product.do?process=checkout&part=1027"
"2","Cloth","Exterior Bag ","46""","Sunbrella","Yd.","0.00","16.00","1","1","0.00","http://search.sailrite.com/?refineType=1&sub_attr_name=Outdoor%20Application&refineValue=Bags&refine=1&history=wwxv0dxz||sub_attr_name~Store_ID^refineValue~Retail1...eknsjrio||categoryName~cat_121351%40Retail1^category~121368%40Retail1^subCategoryName~Marine%20Exterior%20Fabric^subCategoryName~Marine%20Exterior%20Fabric...hgw0p6yi||refineType~1^sub_attr_name~Brand^refineValue~Sunbrella...w3smz5ca||refineType~1^sub_attr_name~Width^refineValue~46\%22"
"3","Cloth","Zipper","48""","Plastic Teeth & Pull","Each","0.00","7.50","1","1","0.00","http://www.sailrite.com/YKK-Zipper-10-Black-48-Single-Locking-Plastic-Slider"
"4","Tank","Fuel","12 gal.","Plastic","Each","0.00","165.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|311|302335|7364|939818|940755&id=940431"
"5","Cloth","Fabric Mesh","48""","Polyester","Yd.","0.00","5.00","1","1","0.00","http://www.sailrite.com/Mesh-Polyester-White-46"
"6","Tape","Butyl Sealant","1/2"" x 1/8""",,"Ft.","295.00","0.36","300","300","0.00","http://www.pbase.com/mainecruising/butyl_tape"
"7","Engine Part","Transmission Cable ","10'","Teleflex 6400","Each","0.00","165.00","1","1","0.00","http://www.jamestowndistributors.com/userportal/show_product.do?pid=58310&familyName=Teleflex+TFXtreme+6400CC+Control+Cable"
"9","Bolt","Philips Flat Head Machine Screw","1/4"" x 2""","Stainless","Each","0.00","0.18","100","100","0.02","http://www.jamestowndistributors.com/userportal/show_product.do?pid=489&familyName=1%2F4-20+S%2FS+Machine+Screws+FP"
"10","Washer","Fender","1/4"" x 1 1/4""","Stainless","Each","0.00","0.15","100","100","0.02","http://www.jamestowndistributors.com/userportal/show_product.do?pid=1902&familyName=S%2FS+Fender+Washers"
"11","Nut","Nylock","1/4""","Stainless","Each","0.00","0.14","100","100","0.02","http://www.jamestowndistributors.com/userportal/show_product.do?pid=1896&familyName=S%2FS+Lock+Nuts"
"12","Expoxy","Epoxy and Fast Hardener West System",,,"1.2 Gal.","0.20","130.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|10918|12212|309317|636678&id=12213"
"13","Nut","Eye","1/4"" x 1 1/4""","Stainless","Each","0.00","5.00","1","1","0.00","http://www.jamestowndistributors.com/userportal/show_product.do?pid=57902&familyName=Eye+Nut+-+Stainless+Steel"
"14","Hose","Sanitation","1 1/2""",,"Ft.","21.00","3.80","1","1","0.00","http://www.defender.com/product.jsp?path=-1|51|106370|315126&id=1581861"
"15","Vent","Clamshell","5"" x 4 1/2"" x 2""","Stainless","Each","2.00","15.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|6880|45749|320599|845203&id=1816519"
"16","Valve","Y-Valve","1 1/2"" Barbs",,"Each","1.00","56.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|51|106370|813148|316446&id=121038"
"17","Tank","Holding Tank Fitting Relocation Kit ",,,"Each","0.00","50.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|51|87367|315193&id=134960"
"18","Vent","Cowl"," 3"" Dia. 5"" Tall","Plastic","Each","0.00","25.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|6880|45749|320599|845203&id=1120909"
"19","Thru-Hull","Straight ","1 1/2""","Nylon","Each","2.00","16.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|51|106370|316448|315123|567957&id=1296993"
"20","Tank","Holding Tank 90 Degree Adapter Kit ",,,"Each","0.00","25.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|51|87367|315193&id=940159"
"21","Sheeting","2 mil","8'4"" (100' rolls)","Plastic","Ft.","0.00","0.35","1","1","0.00","http://www.homedepot.com/h_d1/N-5yc1v/R-202184039/h_d2/ProductDisplay?catalogId=10053&langId=-1&keyword=plastic%20sheeting&storeId=10051"
"22","Lumber","Teak","1/2"" x 2 1/2""",,"Linear Ft.","0.00","7.10","1","1","0.00","http://marine-plywood.us/Boat-lumber-pricing.htm"
"23","Lumber","Marine Plywood","18mm",,"Sq. Ft.","0.00","3.22","32","32","0.00","http://www.worldpanel.com/proddetail.asp?prod=HydroCore"
"24","Lumber","Marine Plywood","18mm","Teak & Holly Veneer","Sq. Ft.","0.00","6.90","32","32","0.00","http://www.worldpanel.com/products.asp?cat=9"
"25","Fiberglass","Tape","8""",,"Yd.","0.00","2.10","1","1","0.00","http://www.defender.com/product.jsp?path=-1|10918|16458|309345&id=16667"
"26","Fiberglass","Tape","3""",,"Yd.","0.00","0.95","1","1","0.00","http://www.defender.com/product.jsp?path=-1|10918|16458|309345&id=16491"
"27","Rope","Single Braid","1/4""","Dyneema","Ft.","0.00","1.40","1","1","0.00","http://www.defender.com/product.jsp?path=-1|10391|311417|314170|749705&id=1117343"
"28","Life Line","Netting",,,"Yd. As Installed","0.00","10.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|118|297400|1856400&id=363314"
"29","Thimble",,"1/4""","Nylon","Each","0.00","0.80","1","1","0.00","http://www.defender.com/product.jsp?path=-1|10391|638271|296897&id=35360"
"35","Engine Part","Choke Cable","20'",,"Each","0.00","70.00","1","1","0.00","http://www.moyermarine.com/cgi-bin/shopper.cgi?search=action&searchstart=120"
"36","Rope","Double Braid Samson XL","7/16""","Polyester","Ft.","0.00","1.16","1","1","0.00","http://www.defender.com/product.jsp?path=-1|118|311417|314169|913347&id=1258724"
"37","Thimble",,"3/8"" - 7/16""","Stainless","Each","0.00","6.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|10391|638271|296897&id=34546"
"38","Strap","Tank Strap","1"" x 72""",,"Each","0.00","8.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|311|302335|7364|1846261&id=1845192"
"39","Tether","Retractable Safety Tether","1m - 2m",,"Each","0.00","100.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|135|88189&id=1685857"
"40","Life Line","Turnbuckle, Toggle and Eye ",,"Stainless","Each","0.00","25.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|118|297400|312091&id=1256563"
"42","Anchor","Manson Supreme","25 lb.","Galvanized Steel","Each","0.00","265.00","1","1","25.00","http://www.defender.com/product.jsp?path=-1|10391|33872|902122&id=901916"
"43","Chain","BBB","5/16""","Galvanized Steel","Ft.","0.00","3.15","1","1","0.00","Minney's"
"44","Chain","G4","5/16""","Galvanized Steel","Ft.","60.00","3.25","1","1","0.00","Minney's"
"49","Windlass","Manual, Used",,,"Each","0.00","500.00","1","1","0.00","Minney's"
"50","Hose Clamp","Non-Perferated","1 1/2"" - 2 1/2""","Stainless","Each","16.00","3.50","1","1","0.00","http://www.defender.com/product.jsp?path=-1|51|106370|316448|315124&id=169427"
"51","Hose Clamp","Non-Perferated","1"" - 1 1/2""","Stainless","Each","0.00","3.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|51|106370|316448|315124&id=169367"
"52","Hose Clamp","Non-Perferated","3/4"" - 1 1/8""","Stainless","Each","0.00","2.60","1","1","0.00","http://www.defender.com/product.jsp?path=-1|51|106370|316448|315124&id=169337"
"53","Hose","Bilge Pump","3/4""",,"Ft","10.00","1.30","1","1","0.00","http://www.defender.com/product.jsp?path=-1|51|106370|315129&id=106835"
"54","Thru-Hull","Straight","3/4""","Plastic","Each","0.00","5.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|51|106370|316448|367124&id=146726"
"55","Screw","Wood Screw","#8 x 1""","Stainless","Each","20.00","0.12","100","100","0.00","http://www.jamestowndistributors.com/userportal/show_product.do?pid=1903&familyName=%238+S%2FS+Wood+Screws+FP"
"56","Hawse Pipe",,,"Stainless","Each","0.00","50.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|10391|32295|322380&id=1501885"
"58","Tape","Hatch Gasket","1/8"" x 3/4"" (7ft roll)","Vinyl","Ft.","0.00","1.00","7","7","0.00","http://www.defender.com/product.jsp?path=-1|6880|6881|311415&id=1576753"
"59","Hinge","Cabinet ",,"Stainless","Pair","0.00","7.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|10918|311444|296159&id=25852"
"60","Hinge","Door, Flush",,"Stainless","Each","0.00","14.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|10918|311444|296159&id=578335"
"61","Hinge","Door, Heavy Duty",,"Stainless","Pair","0.00","16.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|10918|311444|296159&id=578235"
"62","Pad Eye",,"3 1/8"" Base","Stainless","Each","0.00","40.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|118|311635|312081&id=117030"
"63","Interior Light","Rope","4 segments x 1ft","LED","Set","0.00","30.00","1","1","0.00","http://www.ikea.com/us/en/catalog/products/20119418/"
"64","Interior Light","Surface Mount Lamp","8"", 7W","Fluorescent","Each","0.00","24.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|65136|328876|1116026&id=1037931"
"65","Interior Light","Surface Mount Lamp",,"LED","Each","1.00","60.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|65136|328876|1116026&id=1393763"
"66","Interior Light","Surface Mount Lamp","10"", 13W","Fluorescent","Each","0.00","26.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|65136|328876|1116026&id=1037912"
"67","Nav Light","Red & Green Bow Combo"," 2.4W","LED","Each","0.00","43.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|65136|739053|760451&id=984593"
"68","Nav Light","White Stern",,"LED","Each","0.00","50.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|65136|295769|320397|528244&id=1465642"
"69","Interior Light","Flexible Lamp Red/White",,"LED","Each","0.00","43.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|65136|739053|1067284&id=1210867"
"70","Interior Light","Reading Lamp","10W","Halogen","Each","0.00","30.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|65136|328876|1116023&id=1883570"
"72","Nav Light","Steaming Lamp/Deck Flood Combo",,,"Each","0.00","55.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|65136|295769|320396|320404&id=64341"
"73","Interior Light","Ceiling Lamp",,"LED","Each","0.00","26.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|65136|739053|760445&id=747487"
"74","Window","Lexan Scraps","10 lb box",,"Each","0.00","16.00","1","1","0.00","http://freckleface.com/shopsite_sc/store/html/product545.html"
"77","Mirror","Fancy w/Teak Border","15"" x 11""",,"Each","0.00","49.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|406|302027|322430&id=101139"
"78","Knotmeter","Signet Sensor Paddle Wheel Kit",,,"Each","1.00","45.00","1","1","0.00","http://www.signetmarine.com/PRODUCTS/pricelist/comp_price3.html"
"79","Compass","Richie Navigator Old Style Replacement Dome",,,"Each","2.00","59.00","1","1","0.00","http://www.vikingcompass.com/ritoldnavpart.html"
"80","Compass","Richie Navigator Old Style LED Light Kit",,,"Each","0.00","24.00","1","1","0.00","http://www.vikingcompass.com/navoldlight.html"
"81","Container","Fancy Waterproof Laptop Case",,,"Each","0.00","190.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|344|760427&id=88038"
"82","Log Book","Maintenance",,,"Each","0.00","23.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|17|315035&id=339947"
"83","Log Book","Cruising",,,"Each","0.00","23.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|17|315035&id=83239"
"84","Log Book","Ship's Log",,,"Each","0.00","23.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|17|315035&id=83225"
"85","Bulb","Festoon",,"LED","Each","0.00","22.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|65136|296901|1249269&id=1645280"
"86","Engine Part","Freshwater Engine Cooling Kit",,,"Each","0.00","715.00","1","1","0.00","http://www.moyermarine.com/cgi-bin/shopper.cgi?search=action&category=CFWK&keywords=all&template=Templates/B000_storebuilder.html"
"87","Sail","Gennaker",,,"Each","0.00","2000.00","1","1","0.00","North Sails"
"88","Caulk","Sikaflex 291 Adhesive ","10.3 oz",,"Tube","0.00","13.00","1","1","0.00","http://www.jamestowndistributors.com/userportal/show_product.do?pid=3512&familyName=Sikaflex+291"
"89","Fastener","Snap Adhesive Base",,,"Each","0.00","2.03","25","1","0.00","http://www.sailrite.com/YKK-SNAD-White-25mm-Adhesive-Backed-Flexible-Base-Stud"
"90","Fastener","Snap Button",,,"Each","0.00","0.23","25","1","0.00","http://www.sailrite.com/Snap-Fastener-Button-White-3-16-Barrel-Nickel-Key-A"
"91","Fastener","Snap Socket",,,"Each","0.00","0.18","25","1","0.00","http://www.sailrite.com/Snap-Fastener-Normal-Action-Socket-Stainless-Steel-Key-SSB"
"92","Fastener","Snap Wood Screw Base",,,"Each","0.00","0.32","25","1","0.00","http://www.sailrite.com/Snap-Fastener-Screw-Stud-3-8-Stainless-Steel-Key-SSE"
"94","Bolt","Hex Cap Machine Screw","1/4"" x 3/4""","Stainless","Each","3.00","0.14","100","100","0.02","http://jamestowndistributors.com/userportal/show_product.do?pid=2223&familyName=1%2F4-20+S%2FS+Hex+Caps"
"95","Rope","Double Braid Samson XLS","7/16""","Polyester","Ft.","0.00","0.93","1","1","0.00","http://www.defender.com/product.jsp?path=-1|10391|311417|314169|913347&id=36838"
"96","Rope","Double Braid Samson XLS","3/8""","Polyester","Ft.","0.00","0.76","1","1","0.00","http://www.defender.com/product.jsp?path=-1|118|311417|314169|913347&id=36459"
"97","Wire Rope",,"1/4"" 1x19","316 Stainless","Ft.","0.00","3.36","1","1","0.00","http://www.defender.com/product.jsp?path=-1|118|107602|297597&id=108067"
"99","Wire Fitting","Swageless Stud","1/4"" wire, 5/16"" thread","316 Stainless","Each","0.00","37.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|118|107602|297595|312099&id=136088"
"102","Wire Fitting","Turnbuckle, Jaw Only","1/2"" pin, 5/16"" thread","316 Stainless & Chromed Bronze","Each","0.00","74.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|118|107602|297402|823935&id=123904"
"103","Zinc","Prop Shaft Donut","7/8""","Zinc","Each","0.00","13.00","1","1","0.00","http://www.defender.com/product.jsp?path=-1|299255|319700&id=1119292"
"106","Bottom Paint","Hard Bottomkote Aqua",,,"Gallon","0.00","120.00","1","1","20.00","http://www.defender.com/product.jsp?path=-1|10918|296162|11000|311496|368288|1183523&id=1833976&cartId=3190162"
"107","Bottom Paint","Ablative ACT",,,"Gallon","0.00","113.00","1","1","20.00","http://www.defender.com/product.jsp?path=-1|10918|296162|11000|311496|368287&id=730074"
